"id","sid","2015-10-08 00:05:00","2015-10-08 00:12:00","2015-10-08 00:34:00","2015-10-08 00:40:00","2015-10-08 01:32:00","2015-10-08 01:52:00","2015-10-08 02:52:00","2015-10-08 02:58:00","2015-10-08 04:13:00","2015-10-08 04:30:00","2015-10-08 05:58:00","2015-10-08 06:16:00","2015-10-08 06:41:00","2015-10-08 06:54:00","2015-10-08 07:07:00","2015-10-08 07:25:00","2015-10-08 07:38:00","2015-10-08 07:52:00","2015-10-08 08:05:00","2015-10-08 08:18:00","2015-10-08 08:31:00","2015-10-08 08:44:00","2015-10-08 08:57:00","2015-10-08 09:10:00","2015-10-08 09:22:00","2015-10-08 09:35:00","2015-10-08 09:48:00","2015-10-08 10:00:00","2015-10-08 10:12:00","2015-10-08 10:24:00","2015-10-08 10:37:00","2015-10-08 10:49:00","2015-10-08 11:03:00","2015-10-08 11:18:00","2015-10-08 11:33:00","2015-10-08 11:48:00","2015-10-08 12:02:00","2015-10-08 12:17:00","2015-10-08 12:32:00","2015-10-08 12:47:00","2015-10-08 12:59:00","2015-10-08 13:12:00","2015-10-08 13:24:00","2015-10-08 13:37:00","2015-10-08 13:49:00","2015-10-08 14:02:00","2015-10-08 14:15:00","2015-10-08 14:28:00","2015-10-08 14:40:00","2015-10-08 14:53:00","2015-10-08 15:07:00","2015-10-08 15:20:00","2015-10-08 15:33:00","2015-10-08 15:46:00","2015-10-08 15:59:00","2015-10-08 16:13:00","2015-10-08 16:26:00","2015-10-08 16:39:00","2015-10-08 16:52:00","2015-10-08 17:06:00","2015-10-08 17:19:00","2015-10-08 17:32:00","2015-10-08 17:53:00","2015-10-08 18:12:00","2015-10-08 18:25:00","2015-10-08 18:38:00","2015-10-08 18:51:00","2015-10-08 19:04:00","2015-10-08 19:17:00","2015-10-08 19:30:00","2015-10-08 19:43:00","2015-10-08 19:55:00","2015-10-08 20:08:00","2015-10-08 20:21:00","2015-10-08 20:39:00","2015-10-08 20:53:00","2015-10-08 21:03:00","2015-10-08 21:18:00","2015-10-08 21:29:00","2015-10-08 21:41:00","2015-10-08 21:53:00","2015-10-08 22:04:00","2015-10-08 22:16:00","2015-10-08 22:27:00","2015-10-08 22:38:00","2015-10-08 22:56:00","2015-10-08 23:04:00","2015-10-08 23:16:00","2015-10-08 23:24:00","2015-10-08 23:35:00","2015-10-08 23:50:00","2015-10-08 23:56:00"
"123",343,"4","4","4","4","4","4","4","4","4","4","4","4","5","5","6","6","6","7","8","8","9","9","9","7","5","4","4","0","0","0","0","0","0","1","1","1","1","2","1","1","1","2","2","3","3","2","2","2","2","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","16","16","16","17","16","17","17","17","17","17","17","18","18","17","17","17","17","17","17","17","17","17","17","17","16","16"
"124",344,"20","20","20","20","19","19","18","18","18","18","18","18","18","18","18","18","18","16","17","16","14","13","10","10","10","9","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","9","9","8","9","9","9","9","10","10","10","10","11","12","11","11","9","9","9","9","9","10","11","11","14","14","15","13","13","12","12","12","12","12","12","12","11","11","11","11","12","12","12","12","12","12","12"
"125",345,"13","13","17","17","18","18","18","18","18","18","17","16","16","13","13","13","17","20","20","20","17","15","9","6","6","3","5","7","8","6","6","4","4","6","7","9","8","8","8","8","9","12","12","13","16","18","21","26","27","32","30","28","26","23","25","22","22","22","25","30","31","33","32","32","35","33","35","33","35","34","34","34","33","33","34","34","34","30","28","30","32","32","30","29","29","32","32","32","32","32","30","30"
"126",346,"23","23","25","25","24","24","24","24","24","24","23","23","21","22","23","21","19","15","9","6","0","0","0","2","1","1","1","0","0","0","0","2","1","1","0","0","1","2","3","5","4","4","3","2","3","2","2","1","1","0","0","0","2","4","5","2","2","17","21","21","21","22","22","19","22","23","24","23","23","23","19","20","21","23","23","21","21","23","22","22","24","23","24","24","24","23","21","22","21","20","20","20"
"127",347,"6","6","6","6","4","4","4","4","5","5","7","6","10","11","12","14","17","18","21","15","9","12","11","16","21","32","25","29","33","33","32","23","12","13","13","10","11","12","12","13","13","13","15","17","20","20","23","29","23","20","18","15","15","19","18","16","16","10","9","3","1","6","6","9","9","11","3","1","1","1","2","2","5","4","7","3","3","1","13","15","15","16","13","11","11","8","7","6","7","8","8","8"
"128",348,"3","2","2","2","3","1","1","1","1","1","1","1","1","1","1","3","1","1","3","2","6","9","14","21","29","29","34","41","41","41","41","41","39","41","40","41","41","41","40","40","40","42","42","42","35","37","38","41","41","40","41","35","32","31","31","31","28","26","29","33","33","34","31","26","21","22","23","23","19","22","23","23","23","22","24","24","23","24","24","23","21","22","22","23","22","19","21","21","21","23","22","23"
"129",350,"16","16","17","17","16","17","17","17","17","17","19","18","17","15","16","15","13","13","10","7","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","2","1","1","1","1","0","0","2","1","1","1","1","1","0","1","4","5","4","7","8","4","6","7","7","11","15","16","18","22","22","25","24","24","26","24","26","26","24","25","25","26","25","25","26","26","26","26","26","26","25","25","25"
"130",351,"3","3","4","4","4","4","4","4","4","4","4","4","5","6","6","11","14","17","20","22","34","36","36","36","36","36","36","36","36","36","36","37","37","37","36","36","34","34","32","31","31","29","31","32","33","33","31","31","32","30","31","31","30","31","31","30","31","31","24","19","13","9","10","4","0","2","0","0","0","0","0","0","0","0","0","2","2","3","3","3","3","3","3","3","4","4","4","3","3","4","4","4"
"131",352,"2","2","2","2","2","1","0","0","0","0","5","9","11","16","22","28","35","36","36","31","35","36","31","31","33","31","28","32","35","35","36","35","36","35","36","36","35","27","26","32","30","30","30","28","16","16","16","17","15","21","21","18","16","17","17","19","14","12","6","0","0","1","2","0","0","0","3","2","0","2","0","1","0","1","2","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0"
"132",353,"7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","7","7","8","8","8","7","8","8","9","9","9","10","9","8","8","9","9","5","5","6","6","5","5","5","5","5","5","7","8","8","8","8","8","7","7","8","8","8","8","9","8","7","8","8","8","7","7","7","7","8","8","9","8","8","8","8","7","6","5","5","5","5","5","5","5","6","7","6","7","8","8","8","8","8","8","8"
"133",354,"14","14","14","14","14","14","15","15","15","15","15","15","15","14","14","13","13","12","12","8","6","4","4","3","2","2","1","1","0","0","0","0","4","3","3","3","4","4","4","3","3","4","4","3","2","2","1","2","2","3","3","3","2","2","2","1","2","1","3","4","4","4","4","4","5","7","7","7","7","8","8","9","10","10","10","10","10","10","10","9","9","10","10","10","10","10","10","11","11","11","11","12"
"134",355,"10","10","10","10","11","11","10","10","11","11","9","9","9","10","10","8","5","5","3","3","5","5","6","5","4","7","10","10","11","10","11","10","9","6","7","6","9","8","6","5","5","5","4","5","6","7","7","10","10","10","9","4","2","3","2","0","2","0","0","1","5","5","1","2","3","3","0","2","1","0","0","1","6","8","11","8","9","7","6","6","6","6","7","7","7","8","8","8","7","7","6","8"
"135",356,"22","17","16","16","17","17","19","19","19","19","19","19","19","20","20","22","20","19","18","17","16","17","12","11","14","11","10","8","7","9","13","17","18","17","9","9","9","7","7","7","5","1","1","1","1","2","3","3","3","6","6","7","8","4","3","3","4","4","4","4","4","4","10","13","18","19","20","22","21","16","9","13","12","13","7","4","9","11","8","8","6","7","10","13","10","9","8","9","14","15","16","16"
"136",358,"35","35","35","35","34","34","17","17","16","16","15","13","8","6","5","0","1","1","1","1","1","2","2","1","1","0","0","0","0","3","2","2","2","2","1","0","4","4","4","4","6","4","3","1","0","0","0","5","9","8","8","12","11","13","15","14","19","23","22","19","21","31","34","28","33","34","34","32","34","33","34","34","34","34","34","32","30","30","33","34","33","34","34","34","32","31","30","30","30","31","33","33"
"137",359,"1","1","1","1","0","0","0","0","1","1","4","3","12","16","25","38","45","50","50","47","45","49","49","51","46","50","50","43","43","45","48","48","47","46","45","45","43","42","42","42","41","41","39","38","40","46","44","45","47","47","47","45","42","40","38","32","30","26","21","13","0","5","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138",360,"1","2","1","1","1","1","1","1","1","1","2","1","4","3","3","5","5","6","11","15","16","17","22","26","26","28","29","27","26","27","28","30","30","30","30","27","26","25","25","26","25","25","24","24","24","22","20","19","19","17","17","16","15","15","14","11","12","9","11","10","6","5","0","1","0","1","1","0","0","0","0","1","1","1","0","1","1","0","0","2","2","2","1","0","0","0","1","1","1","1","2","2"
"139",361,"14","16","15","16","17","16","16","16","16","15","16","15","16","15","15","17","17","17","18","18","10","9","5","1","0","0","0","3","4","4","2","0","0","0","0","0","1","5","5","3","5","8","6","3","8","8","6","6","6","9","9","10","14","14","14","14","12","11","10","10","11","14","19","16","14","15","16","16","14","15","17","21","20","23","22","23","25","27","26","28","27","28","29","27","27","28","28","28","30","29","27","27"
"140",362,"0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","1","2","1","1","8","12","14","16","16","17","16","18","19","17","17","20","17","16","19","18","16","13","13","15","13","12","13","12","10","9","10","9","11","11","11","11","11","11","11","7","8","4","0","3","3","0","1","1","0","0","0","3","0","0","0","18","42","41","37","37","36","34","31","31","29","26","26","26","26","26","26","25","24","24"
"141",363,"19","19","19","19","22","22","22","22","22","23","21","19","18","15","14","14","11","8","2","24","19","13","11","10","3","4","9","10","13","11","11","11","10","8","9","10","10","8","8","9","10","9","9","12","14","11","11","11","11","11","11","12","10","9","9","8","8","10","9","8","8","10","12","12","7","7","7","4","5","3","3","5","2","4","5","2","4","7","7","7","8","8","9","9","10","11","11","11","11","11","11","12"
"142",364,"7","7","5","5","5","5","5","5","5","5","6","5","4","4","4","4","4","4","4","4","3","3","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","6","6","6","6","7","5","4","4","4","4","4","4","3","3","2","2","2","1","2","2","2","2","1","1","2","1","1","1","0","0","1","1","2","4","5","6","6","6","6","6","4","3","3","3","4","5","5","5","5","5","5","5"
"143",365,"14","15","15","15","15","15","14","14","15","15","15","15","15","14","14","14","14","12","12","11","9","7","6","6","4","4","4","4","4","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","7","7","7","7","6","6","7","7","8","8","8","8","8","7","7","9","7","6","7","5","4","4","3","4","5","5","5","5","5","5","4","5","5","5","5","5","5","5","6","6","7","7"
"144",366,"33","33","33","33","33","33","33","33","32","32","31","31","28","28","28","26","21","19","18","16","13","6","2","0","0","0","0","0","2","1","0","0","0","0","1","0","0","1","2","0","0","0","0","0","0","1","0","2","1","2","0","0","3","3","0","0","1","0","1","0","2","4","4","3","7","8","8","10","9","6","7","7","6","6","7","7","8","13","15","16","19","20","21","21","22","23","24","25","26","27","26","27"
"145",367,"4","3","3","2","2","2","2","2","2","2","2","2","2","2","5","6","13","17","23","26","29","34","34","34","33","33","33","34","33","33","32","32","34","34","34","32","33","34","32","33","33","32","13","2","0","1","1","6","7","7","7","6","6","3","2","1","2","2","4","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","2","1","1","1","1","1","1","1","1"
"146",368,"20","20","21","21","18","19","19","19","18","18","16","15","11","9","5","3","3","0","0","3","9","18","21","21","24","22","18","19","23","25","26","28","26","25","27","27","32","37","37","36","35","34","31","32","31","36","34","34","34","34","34","33","32","34","34","35","32","32","29","35","33","35","32","34","36","32","35","37","36","35","37","37","35","37","35","36","37","36","36","36","35","30","31","29","29","28","31","26","27","30","33","34"
"147",369,"29","27","27","27","27","26","26","26","26","26","25","23","22","22","22","22","22","23","23","21","21","15","12","15","12","10","8","4","4","4","3","3","3","3","4","3","4","2","2","2","2","0","2","2","4","5","5","4","5","5","5","6","8","7","10","10","7","6","6","9","10","11","14","13","14","26","28","34","32","34","34","34","33","33","34","32","34","34","34","33","34","33","33","32","30","33","33","33","31","33","32","31"
"148",372,"13","13","13","13","14","14","14","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","15","15","15","14","11","11","12","12","12","12","12","13","12","12","12","12","12","12","13","13","12","12","1","1","1","1","2","2","2","2","3","3","3","3","3","2","2","2","2","2","1","1","1","0","0","0","0","2","2","2","2","2","2","1","1","1","1","1","1","3","3","3","3","4","4","4","4","4","4","4"
"149",373,"19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","18","18","17","4","4","3","3","2","2","2","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","12","13","13","12","12","12","12","13","13","13","13","13","13","12","12","12","14","14","14","14","14","14","14","15","16","16","16","16","16","16","16"
"150",375,"0","0","1","1","1","1","1","1","2","2","2","3","5","6","6","5","5","6","7","8","6","8","3","1","5","2","13","13","24","24","25","27","27","28","28","28","28","28","27","27","28","28","28","29","29","29","25","25","26","26","27","26","29","28","27","27","28","24","21","24","25","28","21","20","17","13","19","16","22","21","22","22","23","24","22","21","21","20","19","17","17","14","12","11","10","10","9","13","11","10","10","8"
"151",376,"1","1","1","1","1","1","1","1","2","2","0","0","0","1","1","0","0","4","6","4","4","4","4","8","10","14","17","18","23","26","25","25","28","27","27","27","26","26","27","28","26","25","24","24","23","25","24","25","27","26","27","27","26","25","26","24","24","24","25","23","23","24","19","19","15","4","1","0","0","0","0","2","1","1","0","0","0","0","0","0","0","2","0","1","1","2","2","3","4","4","4","4"
"152",377,"3","3","2","1","1","1","1","1","2","2","3","2","2","3","2","3","3","7","8","12","14","20","23","31","36","42","46","46","47","47","47","47","47","47","47","46","46","46","44","44","45","46","47","46","45","47","44","44","43","42","40","42","41","41","43","44","44","43","41","40","40","39","33","30","19","18","13","8","7","4","4","3","2","0","0","1","1","0","0","0","0","0","0","0","0","1","1","1","1","2","2","2"
"153",379,"1","0","0","0","3","3","2","2","3","4","1","0","1","0","1","0","0","0","0","0","3","3","1","4","6","0","2","1","0","1","0","1","0","4","3","1","2","2","1","0","4","0","1","4","3","3","4","6","9","13","14","15","14","21","24","30","30","35","41","41","41","39","39","41","35","40","41","34","34","41","39","37","35","36","37","40","37","41","37","35","35","38","35","35","32","30","29","30","30","29","29","28"
"154",380,"27","26","28","27","28","28","27","27","25","25","23","21","19","17","17","16","15","14","11","10","8","2","0","0","0","0","0","0","0","1","1","3","2","3","1","1","4","3","1","0","2","3","6","6","9","13","13","12","10","9","11","11","11","14","13","15","15","19","20","25","26","27","15","18","23","30","35","36","36","35","36","34","34","35","36","35","35","35","32","33","34","31","28","30","30","33","31","31","32","29","28","27"
"155",382,"0","0","0","0","1","0","0","0","1","1","4","4","4","4","4","5","7","5","5","6","6","9","9","14","19","22","26","29","31","35","34","35","35","33","33","34","33","30","32","34","32","34","35","33","17","5","10","11","6","10","9","9","11","14","13","16","19","18","20","20","24","29","28","28","31","24","28","30","30","27","26","25","21","19","20","21","18","16","18","24","21","23","23","20","20","20","21","19","18","19","18","17"
"156",383,"30","30","30","30","29","29","15","15","15","15","13","12","12","15","14","11","11","10","10","8","7","6","1","2","0","0","0","1","0","0","0","0","2","2","2","1","3","3","9","8","9","9","8","7","8","9","10","10","9","11","17","16","14","9","11","12","11","10","12","10","13","15","10","19","16","22","26","32","35","37","37","37","37","37","36","37","36","32","34","36","36","35","35","37","36","36","33","32","30","30","29","29"
"157",384,"9","9","9","9","9","9","9","9","9","9","9","9","10","9","9","10","11","12","11","11","8","8","7","5","4","4","6","3","2","2","1","1","1","1","1","2","4","2","2","2","2","2","2","2","2","2","3","2","3","4","4","4","4","4","4","4","4","4","5","6","5","6","9","9","11","14","14","15","16","18","18","21","21","21","22","23","23","23","24","24","24","23","24","24","24","24","24","24","27","26","26","26"
"158",385,"0","0","2","2","3","3","3","3","4","4","2","1","1","0","2","1","0","1","1","1","0","4","3","0","0","5","4","4","4","4","8","7","9","10","10","10","9","10","10","10","12","13","12","13","12","14","12","11","12","12","10","9","9","12","15","14","16","15","15","15","14","14","16","15","20","15","7","0","0","0","1","2","3","4","1","1","1","0","0","1","1","3","2","1","0","1","2","1","2","3","3","4"
"159",386,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","3","1","1","3","8","12","16","22","26","26","29","33","35","36","36","34","33","35","31","32","31","31","27","25","25","26","25","27","27","26","26","27","25","25","24","22","22","22","20","20","17","13","10","8","8","10","11","7","7","5","3","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3"
"160",387,"0","0","0","0","1","4","3","3","3","6","4","5","5","5","5","5","5","7","4","5","6","11","10","13","17","21","23","24","23","23","22","21","19","20","19","21","23","16","18","14","10","8","9","14","12","11","8","6","10","8","8","5","4","1","1","2","7","7","6","5","6","2","7","1","0","1","1","5","2","4","0","1","1","0","2","1","1","3","3","1","1","0","0","0","0","0","0","1","0","0","0","0"
"161",388,"5","4","3","3","3","2","1","1","1","1","1","1","2","2","3","3","4","1","2","1","1","2","11","12","22","32","34","33","33","33","32","32","33","33","33","33","29","27","31","32","32","33","30","33","35","33","30","29","30","30","32","31","29","25","24","21","21","21","18","14","14","13","9","1","0","2","3","0","0","1","6","5","7","8","10","8","8","8","8","8","8","9","10","10","10","10","10","11","11","11","11","11"
"162",389,"26","26","26","26","26","24","24","24","24","24","24","24","24","24","25","25","24","23","23","22","20","19","18","15","15","15","13","11","11","12","11","11","11","10","10","8","9","11","9","9","8","9","9","11","10","10","16","17","17","13","9","10","8","8","7","7","8","9","8","8","7","6","4","6","6","6","6","7","7","7","7","8","8","8","10","12","11","12","15","14","13","13","13","11","13","13","15","14","14","14","13","13"
"163",390,"2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","5","8","12","15","17","20","19","20","21","21","21","21","22","22","21","22","22","22","20","22","23","23","23","21","21","23","22","21","21","20","20","20","20","20","21","20","20","19","18","16","15","14","10","11","8","5","5","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"164",391,"5","5","5","5","5","5","5","6","6","6","7","6","4","4","3","3","2","1","1","2","2","3","3","4","3","3","3","4","3","1","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","1","7","7","5","3","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","2","1","5","5","5","5","3","2","3","3","3","3","2","0","0","0","1","2","1","1","2","3","3","2","3"
"165",392,"0","0","1","1","1","1","1","1","4","4","4","4","4","4","5","6","6","10","11","13","16","19","20","19","21","20","19","19","20","22","24","25","25","26","28","25","25","24","23","23","25","26","27","25","24","21","21","27","28","29","28","28","28","29","30","28","27","26","20","18","18","18","17","15","16","13","15","16","14","12","13","13","12","11","10","7","7","6","6","6","6","4","5","5","5","5","3","3","3","3","3","3"
"166",393,"31","31","31","31","31","31","31","31","31","31","30","30","30","30","31","30","28","27","26","20","16","9","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","2","2","0","0","1","2","0","1","1","1","0","1","2","2","2","1","2","2","1","1","3","3","0","1","1","3","3","10","15","19","23","26","25","29","31","31","31","30","31","31","31","31","31","31","31","31","31","31","29","29","30","31","31","31","31"
"167",394,"30","30","30","31","31","31","31","31","31","29","27","27","25","24","24","22","18","16","17","13","3","0","0","0","0","0","0","1","0","1","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","1","1","0","1","3","7","10","8","8","7","7","6","6","3","6","9","12","13","12","15","18","23","25","27","27","26","27","28","28","28","30","29","30","32","29","29","29","28","28","27","28","26","26","27","26"
"168",395,"21","21","21","21","22","22","22","22","23","23","22","22","23","23","23","23","23","22","21","20","18","17","15","14","14","14","14","12","11","13","13","12","13","13","14","14","14","14","14","14","14","14","14","14","16","16","16","16","16","18","18","18","18","17","17","17","17","17","17","19","21","21","23","23","23","26","28","28","29","29","29","28","28","29","28","28","29","29","28","28","28","28","28","28","29","29","29","29","29","29","29","29"
"169",396,"16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","17","16","16","15","14","12","13","13","12","13","13","12","10","10","9","8","8","8","7","7","8","8","8","8","8","8","8","8","8","8","8","8","7","7","6","6","7","7","8","8","8","9","8","7","7","7","8","9","9","10","11","13","15","14","15","16","15","15","16","17","17","17","17","16","15","15","15","15","15","14","14","14","14","14","16","17"
"170",397,"9","9","9","9","9","9","9","9","9","9","9","10","10","9","9","10","10","8","8","8","7","6","6","6","6","4","4","7","4","4","3","3","4","4","4","4","4","4","3","3","3","3","3","3","2","2","2","2","2","2","1","0","0","2","2","2","2","3","3","1","0","0","0","1","1","0","0","1","2","3","3","5","6","6","7","7","6","6","5","5","5","5","6","6","8","8","8","8","7","7","7","7"
"171",398,"14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","15","14","14","14","13","13","14","13","12","11","9","7","8","8","7","5","5","5","5","6","4","4","3","3","3","2","2","2","2","2","2","2","2","3","3","3","3","2","2","3","5","5","5","5","7","6","6","9","11","14","15","15","18","18","19","22","19","20","18","19","17","20","20","20","20","20","20","20","20","20","21","21","21","21"
"172",399,"14","14","15","15","15","15","16","16","16","16","16","16","16","16","16","16","16","15","14","13","13","13","13","14","13","13","12","12","12","12","12","12","11","9","7","5","1","1","1","1","2","2","2","2","2","3","4","3","3","3","7","10","11","14","15","15","16","16","14","14","13","13","12","12","11","12","11","9","6","6","7","6","4","4","3","3","3","4","4","5","5","5","4","3","3","3","2","2","2","2","2","2"
"173",400,"14","14","14","14","14","14","14","14","14","14","13","13","12","12","12","10","6","7","8","8",NA,"7","3","0","0","0","0","2","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","0","0","1","13","13","14","14","14","12","12","11","11","10","9","8","5","6","5","4","7","8","7","11","12","13","12","11","12","12","14","13","14","14","13","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14"
"174",401,"36","35","36","37","38","39","37","37","35","35","35","34","32","32","32","30","30","28","27","21","15","13","3","2","1","1","1","2","1","0","0","0","2","1","2","1","0","0","1","1","2","1","1","0","1","1","1","2","0","0","2","2","3","5","1","0","0","4","7","9","12","14","11","8","10","13","14","10","10","15","16","20","21","25","32","33","35","39","41","39","40","41","41","41","41","41","41","39","40","41","40","40"
"175",402,"0","0","0","0","0","0","0","0","0","0","0","5","11","12","10","10","8","15","17","18","26","27","39","40","40","39","40","40","40","40","39","40","40","39","40","36","38","40","40","39","39","39","40","37","33","30","27","28","32","29","21","20","19","17","19","21","19","23","19","18","12","11","2","1","4","2","3","0","1","2","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"176",403,"24","23","19","20","22","23","25","25","25","25","23","23","22","22","22","21","20","19","19","20","22","18","15","10","4","2","0","0","2","1","4","0","0","1","22","22","21","20","16","16","12","14","16","17","15","16","18","17","16","17","17","16","26","27","24","27","26","23","23","24","26","25","30","30","30","30","30","30","30","30","29","30","30","30","30","30","29","29","30","29","27","29","28","28","27","26","26","24","22","21","20","20"
"177",405,"27","27","28","28","29","28","27","27","27","27","26","26","26","25","21","19","15","14","12","11","8","10","10","10","11","14","13","14","12","11","9","5","3","4","6","6","4","9","6","11","15","15","11","10","12","14","15","16","15","17","21","26","25","28","21","18","13","14","11","9","10","7","10","10","8","10","7","12","10","10","13","16","15","16","16","13","15","17","16","18","18","19","21","21","23","24","24","24","23","23","26","25"
"178",406,"15","15","15","15","15","15","15","15","16","16","16","16","15","15","15","14","15","12","9","6","2","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","6","6","6","6","6","6","5","5","4","4","4","4","5","4","4","3","3","3","3","4","5","5","6","6","6","6","6","8","9","10","10","10","10","10","11","11","10","12","13","14","14","15","16","15","14","14","15","15","15","15","15","15","15"
"179",408,"23","23","23","23","23","23","22","22","22","22","22","22","21","20","20","20","18","17","16","16","14","11","10","8","8","7","7","5","5","4","2","1","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","4","2","1","3","0","0","0","1","1","1","0","1","1","3","4","9","10","9","9","9","11","10","10","14","14","13","14","14","15","16","17","19","19","16","17","18","20","20","19","19","20","20","20","21","21"
"180",409,"14","14","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","13","13","11","10","11","12","12","12","9","9","9","9","9","9","9","9","10","8","8","8","7","7","7","8","7","7","6","6","5","6","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","10","10","10","11","12","13","13","13","14","16","17","17","17","18","18","18","18","18","18","18","18","17","17","18","16","16","18","18","18","18"
"181",410,"33","32","33","33","30","29","30","30","30","30","28","27","24","24","21","18","17","12","9","4","3","0","0","0","1","2","1","1","1","5","1","2","4","1","0","2","2","1","2","0","0","0","0","0","0","0","0","2","2","3","1","3","1","1","3","1","1","1","2","3","6","9","11","11","14","13","16","17","15","22","26","29","34","33","31","33","34","34","34","33","31","33","33","33","30","31","29","30","28","28","31","31"
"182",411,"21","21","21","21","21","21","21","21","14","13","14","14","15","14","14","14","14","9","7","8","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","1","1","1","0","0","0","0","1","2","2","2","2","2","2","4","5","6","5","8","10","11","10","10","9","10","13","15","17","17","19","19","21","21","22","22","22","22","22","22","22","22","22","22","22"
"183",412,"20","21","20","20","20","20","20","20","20","20","20","20","21","21","21","20","21","20","18","20","22","20","20","21","15","13","11","8","7","11","13","12","11","11","10","7","6","7","8","7","8","8","9","10","11","14","14","13","13","13","13","11","13","13","14","13","12","13","12","12","12","14","12","11","9","10","10","9","9","11","10","12","13","12","15","17","17","17","18","17","16","12","12","12","12","12","12","12","13","13","14","14"
"184",414,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","5","5","4","7","7","10","12","16","23","21","20","23","22","22","22","20","23","23","22","22","22","22","22","22","22","22","23","22","21","20","20","22","22","23","22","22","22","21","20","19","18","16","14","14","14","9","11","10","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","5","5","5","5","5"
"185",415,"5","5","6","6","5","5","5","5","5","5","4","3","3","4","4","4","5","6","5","5","14","29","33","33","33","33","33","38","39","37","39","39","38","39","36","36","35","39","39","39","38","39","39","39","39","38","36","33","31","33","32","33","31","30","31","36","36","37","37","36","37","39","38","39","40","39","39","40","40","12","8","3","1","0","1","2","2","1","0","2","0","1","1","2","2","4","4","5","5","5","3","4"
"186",416,"7","7","6","6","6","6","6","6","6","6","6","6","5","5","3","3","3","3","2","1","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","1","1","1","1","1","1","2","2","1","1","2","2","0","0","1","1","1","1","1","1","0","1","3","3","4","4","6","5","5","6","6","7","9","9","9","9","9","8","8","8","9","8","8","8","8","7","7","6","7","7","7","7","7","7","8","8"
"187",417,"6","5","6","6","4","6","6","6","6","4","6","6","8","10","7","7","5","4","1","0","2","9","11","12","13","1","2","0","4","4","8","10","8","7","10","12","12","14","13","13","14","15","15","14","13","11","13","12","9","8","9","8","6","12","9","10","10","10","13","18","20","19","18","9","7","6","2","1","1","1","0","0","0","0","0","1","2","3","4","2","0","3","2","2","1","2","3","4","4","3","4","4"
"188",418,"1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0","2","2","1","0","2","4","5","5","6","7","8","9","11","11","9","9","7","7","7","7","6","6","6","6","7","7","7","8","8","8","8","8","9","9","9","9","9","9","9","9","9","8","7","8","8","8","7","8","9","8","8","8","9","9","9","10","9","9","9","9","9","9","10","10","11","11","11","11","11","11","11","11"
