"id","sid","2015-10-08 00:05:00","2015-10-08 00:12:00","2015-10-08 00:34:00","2015-10-08 00:40:00","2015-10-08 01:32:00","2015-10-08 01:52:00","2015-10-08 02:52:00","2015-10-08 02:58:00","2015-10-08 04:13:00","2015-10-08 04:30:00","2015-10-08 05:58:00","2015-10-08 06:16:00","2015-10-08 06:41:00","2015-10-08 06:54:00","2015-10-08 07:07:00","2015-10-08 07:25:00","2015-10-08 07:38:00","2015-10-08 07:52:00","2015-10-08 08:05:00","2015-10-08 08:18:00","2015-10-08 08:31:00","2015-10-08 08:44:00","2015-10-08 08:57:00","2015-10-08 09:10:00","2015-10-08 09:22:00","2015-10-08 09:35:00","2015-10-08 09:48:00","2015-10-08 10:00:00","2015-10-08 10:12:00","2015-10-08 10:24:00","2015-10-08 10:37:00","2015-10-08 10:49:00","2015-10-08 11:03:00","2015-10-08 11:18:00","2015-10-08 11:33:00","2015-10-08 11:48:00","2015-10-08 12:02:00","2015-10-08 12:17:00","2015-10-08 12:32:00","2015-10-08 12:47:00","2015-10-08 12:59:00","2015-10-08 13:12:00","2015-10-08 13:24:00","2015-10-08 13:37:00","2015-10-08 13:49:00","2015-10-08 14:02:00","2015-10-08 14:15:00","2015-10-08 14:28:00","2015-10-08 14:40:00","2015-10-08 14:53:00","2015-10-08 15:07:00","2015-10-08 15:20:00","2015-10-08 15:33:00","2015-10-08 15:46:00","2015-10-08 15:59:00","2015-10-08 16:13:00","2015-10-08 16:26:00","2015-10-08 16:39:00","2015-10-08 16:52:00","2015-10-08 17:06:00","2015-10-08 17:19:00","2015-10-08 17:32:00","2015-10-08 17:53:00","2015-10-08 18:12:00","2015-10-08 18:25:00","2015-10-08 18:38:00","2015-10-08 18:51:00","2015-10-08 19:04:00","2015-10-08 19:17:00","2015-10-08 19:30:00","2015-10-08 19:43:00","2015-10-08 19:55:00","2015-10-08 20:08:00","2015-10-08 20:21:00","2015-10-08 20:39:00","2015-10-08 20:53:00","2015-10-08 21:03:00","2015-10-08 21:18:00","2015-10-08 21:29:00","2015-10-08 21:41:00","2015-10-08 21:53:00","2015-10-08 22:04:00","2015-10-08 22:16:00","2015-10-08 22:27:00","2015-10-08 22:38:00","2015-10-08 22:56:00","2015-10-08 23:04:00","2015-10-08 23:16:00","2015-10-08 23:24:00","2015-10-08 23:35:00","2015-10-08 23:50:00","2015-10-08 23:56:00"
"11",144,"7","7","7","7","7","7","8","8","8","8","7","7","7","6","6","6","6","6","6","7","7","6","6","6","7","6","6","6","6","4","5","5","5","5","6","5","5","6","7","10","9","8","10","10","10","10","10","10","10","10","10","10","10","9","10","10","9","8","8","8","10","7","6","8","9","9","9","9","9","9","10","10","10","11","11","11","11","11","11","11","11","12","12","12","12","12","12","12","12","12","9","9"
"12",146,"0","1","2","2","1","1","3","3","2","2","4","4","4","4","4","15","17","21","31","29","25","21","16","18","16","18","19","21","21","20","21","21","22","23","24","27","27","27","30","29","31","32","31","32","34","34","35","35","34","35","34","33","33","29","27","22","16","12","5","7","3","5","8","14","12","11","12","13","13","10","9","9","8","9","9","10","11","10","9","8","8","7","7","7","6","6","5","4","4","3","3","3"
"13",147,"5","5","5","5","7","7","7","7","7","7","7","6","6","8","13","8","3","6","5","9","7","9","12","15","18","24","26","28","25","25","23","23","25","26","26","28","30","23","21","24","25","25","28","27","27","28","29","28","29","29","29","29","29","27","29","26","26","25","29","27","29","28","29","28","25","24","21","16","13","11","7","3","2","0","2","1","1","2","0","0","1","1","1","1","2","0","1","4","5","5","6","6"
"14",150,"26","26","27","27","27","27","27","27","19","19","17","17","15","14","12","10","7","4","6","4","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","2","0","0","1","0","0","0","0","4","3","6","6","6","6","8","5","10","16","19","26","26","26","29","30","28","30","30","28","29","29","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"
"15",151,"0","0","1","1","1","1","0","1","1","1","1","3","3","1","3","2","4","6","1","0","3","3","2","5","5","8","10","13","19","20","23","29","32","31","32","27","32","32","31","25","26","31","29","30","30","29","31","26","23","21","20","20","22","23","31","31","27","26","24","27","22","21","17","17","20","17","23","21","18","12","10","0","0","3","1","0","1","1","0","0","0","1","1","1","3","3","2","2","1","1","0","0"
"16",152,"0","0","0","0","0","0","0","0","0","0","2","2","0","1","2","2","2","3","5","4","9","10","9","6","11","11","11","12","13","14","14","12","13","13","11","11","12","12","14","13","13","13","13","13","13","13","14","15","14","13","14","18","19","19","20","20","19","20","20","21","22","22","23","23","21","19","17","15","14","13","13","12","11","8","5","4","3","0","0","0","1","1","2","2","2","2","2","2","1","1","1","2"
"17",157,"19","19","18","18","18","18","18","18","18","18","18","16","16","14","14","15","15","12","11","10","9","7","3","1","0","0","1","1","0","0","0","0","0","0","0","0","1","2","1","1","1","1","1","1","2","2","2","1","1","4","8","6","5","5","6","7","7","4","3","3","6","8","9","12","15","15","15","16","16","19","19","20","20","21","21","20","20","19","18","18","18","18","18","19","19","19","19","21","21","21","21","21"
"18",160,"2","3","2","2","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","3","2","1","0","0","0","1","1","2","2","3","2","2","1","1","1","0","0","0","0","1","2","2","2","3","3","3","2","2","5","4","5","5","6","5","5","4","7","6","1","0","2","4","2","2","0","1","2","0","0","0","1","2","1","3","3","2","1","0","0","0","0","5","5","6","6","6","5","5"
"19",161,"0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","2","1","2","5","7","8","14","22","23","29","28","31","32","34","34","34","33","34","34","32","33","32","33","31","34","33","33","34","34","30","32","31","31","34","34","34","30","33","34","32","33","31","32","31","32","30","25","28","28","32","33","30","33","33","32","33","33","28","30","31","30","27","30","27","23","18","16","15","11","12","12","11","12","13","14","13"
"20",164,"0","0","0","0","0","0","0","0","0","0","1","1","2","3","0","0","0","0","5","6","9","21","36","42","45","46","45","46","46","46","46","46","45","41","39","39","40","39","38","39","39","38","38","40","40","40","42","42","40","40","40","40","40","41","40","40","40","39","33","27","20","14","13","9","0","1","0","2","0","2","0","0","2","2","1","0","0","0","1","1","0","0","1","1","0","2","2","2","2","2","1","1"
